quarter,loan_count,total_ead,total_el,defaults,default_rate
2021Q1,2285,21973500.0,2505447.7755,510,22.32
2021Q2,2310,21780350.0,2315127.8961,467,20.22
2021Q3,2303,22244750.0,2351414.2696,507,22.01
2021Q4,2308,22097800.0,2611137.6133,513,22.23
2022Q1,2319,22569450.0,2534460.3298,531,22.9
2022Q2,2339,22022275.0,2619836.8903,514,21.98
2022Q3,2392,23192675.0,2707800.7363,545,22.78
2022Q4,2381,22833575.0,2607033.58,525,22.05
2023Q1,2313,22268350.0,2544487.561,495,21.4
2023Q2,2302,22157925.0,2558699.0309,508,22.07
2023Q3,2310,22352950.0,2352533.0089,486,21.04
2023Q4,2399,22989575.0,2591388.7533,538,22.43
2024Q1,2333,22472550.0,2554320.5853,481,20.62
2024Q2,2287,21475575.0,2537603.9934,488,21.34
