loan_id,origination_date,grade,region,product_type,ead,pd,lgd,loan_int_rate,loan_status,loan_percent_income,person_age,person_income,person_emp_length,cb_person_cred_hist_length,prior_default
LN000001,2022-06-17,D,RENT,PERSONAL,35000.0,0.750984,0.537956,16.02,1,0.59,22,59000,123.0,3,1
LN000002,2022-02-11,B,OWN,EDUCATION,1000.0,0.142109,0.296138,11.14,0,0.1,21,9600,5.0,2,0
LN000003,2022-07-12,C,MORTGAGE,MEDICAL,5500.0,0.284538,0.410508,12.87,1,0.57,25,9600,1.0,3,0
LN000004,2023-02-10,C,RENT,MEDICAL,35000.0,0.280915,0.432598,15.23,1,0.53,23,65500,4.0,2,0
LN000005,2022-12-27,C,RENT,MEDICAL,35000.0,0.356129,0.416468,14.27,1,0.55,24,54400,8.0,4,1
LN000006,2022-03-24,A,OWN,VENTURE,2500.0,0.108429,0.199475,7.14,1,0.25,21,9900,2.0,2,0
LN000007,2021-12-11,B,RENT,EDUCATION,35000.0,0.220696,0.31654,12.42,1,0.45,26,77100,8.0,3,0
LN000008,2022-03-10,B,RENT,MEDICAL,35000.0,0.214637,0.307549,11.11,1,0.44,24,78956,5.0,4,0
LN000009,2024-03-17,A,RENT,PERSONAL,35000.0,0.141253,0.205557,8.9,1,0.42,24,83000,8.0,2,0
LN000010,2024-03-19,D,OWN,VENTURE,1600.0,0.585213,0.539595,14.74,1,0.16,21,10000,6.0,3,0
LN000011,2024-01-12,B,RENT,VENTURE,35000.0,0.202483,0.290195,10.37,1,0.41,22,85000,6.0,4,0
LN000012,2023-11-22,A,OWN,HOMEIMPROVEMENT,4500.0,0.147271,0.201534,8.63,1,0.45,21,10000,2.0,2,0
LN000013,2022-01-08,A,RENT,VENTURE,35000.0,0.13481,0.223687,7.9,1,0.37,23,95000,2.0,2,0
LN000014,2023-01-25,E,RENT,EDUCATION,35000.0,0.658634,0.660264,18.39,1,0.32,26,108160,4.0,4,0
LN000015,2023-11-16,A,RENT,EDUCATION,35000.0,0.110975,0.223156,7.9,0,0.3,23,115000,2.0,4,0
LN000016,2021-10-27,B,MORTGAGE,DEBTCONSOLIDATION,30000.0,0.139989,0.312127,10.65,0,0.06,23,500000,7.0,3,0
LN000017,2021-09-21,A,RENT,EDUCATION,35000.0,0.112536,0.198292,7.9,0,0.29,23,120000,0.0,4,0
LN000018,2022-11-30,F,RENT,MEDICAL,35000.0,0.730971,0.756019,20.25,1,0.32,23,92111,7.0,4,0
LN000019,2023-01-14,D,RENT,DEBTCONSOLIDATION,35000.0,0.60796,0.548536,18.25,1,0.31,23,113000,8.0,4,0
LN000020,2022-06-12,B,MORTGAGE,EDUCATION,1750.0,0.147738,0.317898,10.99,1,0.16,24,10800,8.0,2,0
LN000021,2023-08-27,A,RENT,VENTURE,35000.0,0.110928,0.208083,7.49,0,0.22,25,162500,2.0,4,0
LN000022,2023-05-23,E,RENT,PERSONAL,34800.0,0.733071,0.651777,16.77,0,0.25,25,137000,9.0,2,1
LN000023,2022-12-16,D,RENT,EDUCATION,34000.0,0.654838,0.555468,17.58,1,0.52,22,65000,4.0,4,0
LN000024,2023-02-17,A,OWN,PERSONAL,1500.0,0.080476,0.221358,7.29,0,0.14,24,10980,0.0,3,0
LN000025,2024-06-28,D,RENT,PERSONAL,33950.0,0.711778,0.513642,14.54,1,0.42,22,80000,3.0,4,1
LN000026,2022-07-19,C,RENT,HOMEIMPROVEMENT,33000.0,0.265855,0.387074,12.68,1,0.49,24,67746,8.0,3,0
LN000027,2022-07-07,E,MORTGAGE,VENTURE,4575.0,0.762445,0.661036,17.74,1,0.42,21,11000,3.0,3,1
LN000028,2022-06-01,A,OWN,PERSONAL,1400.0,0.087478,0.222625,9.32,0,0.13,23,11000,0.0,3,0
LN000029,2021-01-03,B,RENT,HOMEIMPROVEMENT,32500.0,0.219797,0.288325,9.99,1,0.5,24,65000,6.0,3,0
LN000030,2022-04-06,C,OTHER,EDUCATION,4000.0,0.315842,0.416825,12.84,1,0.35,21,11389,5.0,2,1
LN000031,2023-05-23,B,OWN,MEDICAL,2000.0,0.153791,0.283361,11.12,1,0.17,21,11520,5.0,3,0
LN000032,2023-07-09,A,RENT,VENTURE,32000.0,0.122861,0.255444,6.62,0,0.27,25,120000,2.0,2,0
LN000033,2021-06-15,C,RENT,HOMEIMPROVEMENT,31050.0,0.313233,0.436354,14.17,1,0.33,26,95000,7.0,3,1
LN000034,2022-08-01,C,RENT,DEBTCONSOLIDATION,24250.0,0.182011,0.424735,13.85,0,0.08,25,306000,2.0,3,0
LN000035,2021-11-14,C,MORTGAGE,MEDICAL,7800.0,0.191413,0.415094,13.49,0,0.03,26,300000,10.0,4,0
LN000036,2023-02-26,A,OWN,EDUCATION,2500.0,0.095496,0.200759,7.51,1,0.21,21,12000,5.0,4,0
LN000037,2022-10-20,E,RENT,EDUCATION,30000.0,0.725244,0.633907,18.39,1,0.63,22,48000,1.0,2,0
LN000038,2021-03-03,D,RENT,DEBTCONSOLIDATION,30000.0,0.714702,0.536453,14.54,1,0.47,24,64000,8.0,3,1
LN000039,2021-02-07,D,RENT,HOMEIMPROVEMENT,30000.0,0.703859,0.534664,16.89,1,0.4,25,75000,4.0,4,1
LN000040,2022-04-17,D,RENT,DEBTCONSOLIDATION,30000.0,0.635484,0.529218,15.31,1,0.42,23,71500,3.0,4,0
LN000041,2022-12-29,E,RENT,MEDICAL,30000.0,0.689892,0.630709,17.99,1,0.41,26,62050,6.0,2,0
LN000042,2022-07-22,B,OWN,VENTURE,2500.0,0.165657,0.314505,12.69,1,0.21,24,12000,4.0,3,0
